Proceso: Proceso 1, Duracion: 1, Creacion: 0, En Espera: 0, Inicio: 0, Finalizacion: 1, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 2, Duracion: 2, Creacion: 1, En Espera: 1, Inicio: 2, Finalizacion: 3, Penalizacion: 1.50, Cliente: miriam
Proceso: Proceso 3, Duracion: 4, Creacion: 2, En Espera: 3, Inicio: 5, Finalizacion: 7, Penalizacion: 1.75, Cliente: miriam
Proceso: Proceso 4, Duracion: 2, Creacion: 3, En Espera: 7, Inicio: 10, Finalizacion: 9, Penalizacion: 4.50, Cliente: miriam
Proceso: Proceso 5, Duracion: 9, Creacion: 15, En Espera: 0, Inicio: 15, Finalizacion: 9, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 1, Duracion: 6, Creacion: 0, En Espera: 0, Inicio: 0, Finalizacion: 6, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 3, Duracion: 4, Creacion: 2, En Espera: 5, Inicio: 7, Finalizacion: 9, Penalizacion: 2.25, Cliente: miriam
Proceso: Proceso 2, Duracion: 7, Creacion: 12, En Espera: 0, Inicio: 12, Finalizacion: 7, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 4, Duracion: 4, Creacion: 21, En Espera: 0, Inicio: 21, Finalizacion: 4, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 1, Duracion: 4, Creacion: 0, En Espera: 0, Inicio: 0, Finalizacion: 4, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 2, Duracion: 6, Creacion: 0, En Espera: 4, Inicio: 4, Finalizacion: 10, Penalizacion: 1.67, Cliente: miriam
Proceso: Proceso 3, Duracion: 5, Creacion: 11, En Espera: 0, Inicio: 11, Finalizacion: 5, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 4, Duracion: 7, Creacion: 17, En Espera: 0, Inicio: 17, Finalizacion: 7, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 1, Duracion: 4, Creacion: 0, En Espera: 0, Inicio: 0, Finalizacion: 4, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 2, Duracion: 8, Creacion: 5, En Espera: 0, Inicio: 5, Finalizacion: 8, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 3, Duracion: 8, Creacion: 14, En Espera: 0, Inicio: 14, Finalizacion: 8, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 1, Duracion: 5, Creacion: 0, En Espera: 0, Inicio: 0, Finalizacion: 5, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 2, Duracion: 3, Creacion: 0, En Espera: 5, Inicio: 5, Finalizacion: 8, Penalizacion: 2.67, Cliente: miriam
Proceso: Proceso 3, Duracion: 3, Creacion: 5, En Espera: 3, Inicio: 8, Finalizacion: 6, Penalizacion: 2.00, Cliente: miriam
Proceso: Proceso 4, Duracion: 8, Creacion: 11, En Espera: 0, Inicio: 11, Finalizacion: 8, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 5, Duracion: 9, Creacion: 20, En Espera: 0, Inicio: 20, Finalizacion: 9, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 1, Duracion: 3, Creacion: 0, En Espera: 0, Inicio: 0, Finalizacion: 3, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 2, Duracion: 4, Creacion: 0, En Espera: 3, Inicio: 3, Finalizacion: 7, Penalizacion: 1.75, Cliente: miriam
Proceso: Proceso 3, Duracion: 2, Creacion: 0, En Espera: 7, Inicio: 7, Finalizacion: 9, Penalizacion: 4.50, Cliente: miriam
Proceso: Proceso 4, Duracion: 8, Creacion: 0, En Espera: 0, Inicio: 0, Finalizacion: 8, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 5, Duracion: 5, Creacion: 8, En Espera: 0, Inicio: 8, Finalizacion: 5, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 6, Duracion: 10, Creacion: 14, En Espera: 0, Inicio: 14, Finalizacion: 10, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 1, Duracion: 4, Creacion: 0, En Espera: 0, Inicio: 0, Finalizacion: 4, Penalizacion: 1.00, Cliente: miriam
Proceso: Proceso 2, Duracion: 4, Creacion: 0, En Espera: 4, Inicio: 4, Finalizacion: 8, Penalizacion: 2.00, Cliente: miriam
Proceso: Proceso 3, Duracion: 6, Creacion: 5, En Espera: 3, Inicio: 8, Finalizacion: 9, Penalizacion: 1.50, Cliente: miriam
